amount,transactionType,sender_directMatchWithSDN,sender_terroristAffiliation,sender_highRiskCountry,sender_secondarySanctionsRisk,sender_sectoralSanctions,sender_FATFListCountryStatus,sender_antiMoneyLaundering,receiver_directMatchWithSDN,receiver_terroristAffiliation,receiver_highRiskCountry,receiver_secondarySanctionsRisk,receiver_sectoralSanctions,receiver_FATFListCountryStatus,receiver_antiMoneyLaundering,senderCountry,receiverCountry
4699270,SWIFT,True,False,False,True,False,black,True,False,True,True,False,False,black,True,Switzerland,United States
2523049,Wire Transfer,False,True,True,True,True,black,True,True,True,True,False,False,none,False,United Kingdom,Switzerland
1455831,Crypto,True,False,True,True,False,black,False,False,False,True,False,True,black,False,United Kingdom,China
3175996,SWIFT,True,False,True,False,False,grey,True,False,False,True,False,True,none,True,Germany,Brazil
1274602,Crypto,True,False,False,False,False,none,True,False,True,True,False,False,grey,False,Germany,United States
3816791,Check,True,False,False,False,True,grey,False,False,False,True,True,True,black,False,India,Russia
3806479,Check,True,False,False,True,True,none,True,True,False,False,True,False,grey,True,India,India
2514055,SWIFT,False,True,False,True,True,none,True,False,False,True,False,True,none,False,United States,India
4719448,SWIFT,False,False,True,False,False,none,True,False,True,False,False,False,none,True,United Kingdom,United Kingdom
757097,SWIFT,False,False,True,True,False,black,False,False,True,False,False,False,none,True,India,India
2968976,SWIFT,False,True,False,True,False,grey,False,True,True,True,True,False,grey,False,Russia,Russia
2065541,Wire Transfer,True,False,True,False,False,grey,True,True,True,True,False,False,grey,True,India,United States
3315335,ACH Transfer,False,False,False,False,True,grey,False,False,True,False,False,True,grey,True,United States,India
4502543,Check,True,False,False,True,True,black,False,False,True,False,True,True,black,False,United Kingdom,Germany
2303327,Wire Transfer,False,False,True,True,False,black,False,False,False,False,False,True,grey,False,Russia,Switzerland
4186458,ACH Transfer,False,True,False,False,True,none,False,False,False,False,True,False,grey,True,United States,China
2936715,Crypto,False,False,True,False,False,none,False,False,True,True,True,True,none,False,China,Brazil
1865894,Crypto,False,True,True,True,False,none,False,True,False,True,False,False,grey,False,Germany,Russia
4522653,ACH Transfer,False,True,False,False,True,grey,True,False,False,False,True,True,black,False,China,Switzerland
337167,Crypto,False,True,False,True,True,none,True,False,False,True,True,True,black,False,Switzerland,Russia
2931905,Wire Transfer,False,False,False,True,False,black,False,True,True,True,True,False,grey,True,Switzerland,Switzerland
4615783,ACH Transfer,True,False,False,True,False,none,True,True,True,False,False,False,black,False,Brazil,United Kingdom
722434,Check,False,False,False,False,False,grey,False,False,True,False,True,True,grey,False,Switzerland,United Kingdom
3532717,ACH Transfer,False,True,False,True,False,none,False,False,True,False,False,True,none,True,Brazil,United States
2397297,Check,True,False,False,True,True,black,True,False,True,True,False,False,none,True,Russia,Russia
